c#	cname	period	credit	teacher
Chem-46	深度学习	112	1.5	丁贝叶
Chem-82	创业营销	160	9.5	殷好言
Econ-34	飞行器结构设计	144	6.5	茹易进
CE-08	国际政治概论	48	7.5	贝马华
IE-60	数字营销与电子商务研究	160	1.5	荀电鸣
Econ-77	环境与可持续发展研究	160	2.0	常浩
CE-15	城市交通规划	48	7.0	景琛
Ling-03	绩效管理与激励研究	80	4.5	莘金岩
AE-37	创新管理	96	5.0	史振
Phys-50	消费者行为学	144	5.0	安健
AE-28	创业融资	128	7.5	焦荔
Econ-01	企业战略管理	160	9.0	茹马艳
Stat-84	汽车工程概论	144	2.5	尹孝君
Stat-28	虚拟化技术下	112	8.5	井信馨
Ling-57	计算机安全下	144	0.5	张飞
Ling-35	复变函数	144	7.0	柯义瑞
Bio-66	经济学与政策研究	160	8.0	戈榕
BE-19	组织行为学	48	6.0	贾盛
Chem-67	建筑设计基础	112	9.0	毕钰国
Chem-98	公共卫生学	48	7.0	梁段山
Stat-65	金融市场与风险管理研究	128	0.5	萧中春
ME-61	创新创业实践	64	2.5	杜智露
ChE-27	机器学习下	160	2.0	莫孝俊
Math-00	文学批评	112	9.5	和峰
Phys-91	微观经济学	160	9.5	瞿上娴
BE-57	音乐欣赏	64	8.5	吉中
AE-71	机器学习	144	4.0	督子钰毓
Phys-33	国际安全与军事战略	80	4.0	陈莲
CS-59	创业营销	32	9.5	文长马桂
EE-61	哲学方法论	144	0.5	赵义若
Chem-07	艺术欣赏	112	2.5	霍坚
Bio-40	计算机辅助医疗上	160	1.5	上官明
EE-39	服务管理与质量控制研究	16	5.0	戴兰
IE-75	生态经济学	32	3.0	祁薇
Ling-47	人力资源发展与管理研究	96	8.5	曾无鹏
ME-95	计算机仿真上	64	6.0	桂丹
EE-08	计算机系统性能分析	48	8.0	詹笑平
ChE-61	文化哲学	112	2.5	山桂
Stat-76	电子工程与通信工程研究	48	1.0	向仁
ME-88	政治哲学	128	8.5	沈浩
BE-48	企业投资与融资	64	1.0	袁霭
Bio-17	工业工程统计学	128	5.5	戚军
Phys-72	发展经济学与国际贸易研究	16	0.5	花钧
Chem-93	人力资源管理与招聘研究	128	6.5	平金嘉
Stat-50	音频处理上	32	7.0	苗清
Ling-31	国际组织与全球治理	128	0.5	晋友纯
Ling-87	数字营销	80	8.0	赵琴
Bio-29	机器人学上	112	6.0	伊真
Bio-01	环境科学基础	112	6.0	孙器厚
IE-79	统计分析与数据科学研究	144	6.5	边仁霭
Econ-45	项目管理	16	2.5	姜先
Math-74	信息技术与管理研究	112	6.5	潘奇
Chem-04	国际商务谈判	80	2.0	孟孝生
IE-83	交通运输规划与管理研究	16	2.0	熊楠
Phys-02	计算机操作系统下	112	1.0	单天
CE-78	机器学习	112	6.5	宁加姬
Math-67	战略管理	112	9.0	和贝奇
Phys-12	自然科学与技术研究	48	2.0	裴九蕊
EE-89	组织行为学与领导研究	64	5.0	东门全
ChE-96	灾害管理法律法规	16	6.0	项忠和
IE-69	社会学与社会问题研究	16	2.5	康卡生
Chem-86	战略管理	96	6.5	伍冠
CS-21	经济调控	80	4.0	潘海
Stat-69	机器学习上	112	7.5	狄娣
BE-70	电子商务安全与法律	16	9.0	文金娟
Ling-27	金融经济学	96	8.0	常敬
ME-99	生物化学	96	1.5	林华
Chem-61	几何学	96	5.5	朱易腾
Phys-39	伦理学	32	9.5	平器娅
BE-94	风险管理	160	2.0	苗洁
CS-37	量子计算	112	5.0	粱家
Ling-13	操作系统内核下	16	2.0	崔礼璐
IE-21	交通运输规划与管理研究	160	6.0	娄电炎
Chem-10	机器学习	160	3.5	盛礼影
Math-79	流体力学	144	8.0	温良
BE-22	中国现代小说研究	96	2.0	延羊卡春
CE-12	化工与生物医学工程研究	96	1.5	储卡彩
BE-27	国际贸易	16	3.5	闫忠香
IE-41	信息技术与管理研究	16	2.0	贝被云
AE-67	职业发展与人力资源研究	64	4.5	康凯可
AE-81	嵌入式系统上	32	4.0	魏天
BE-10	计算机辅助设计上	112	9.5	安蕊
IE-10	人工智能	64	4.0	于笑达
BE-42	计算机科学导论	48	3.0	卫义瑾
Ling-23	伦理学	160	3.0	通功
Chem-49	生态旅游与生态城市规划	32	1.0	黄蓓
BE-04	服务管理与质量控制研究	48	5.0	奚笑璧
Phys-88	运动心理学	48	2.0	姚仁瑶
CE-20	人工智能伦理与法律	128	7.0	裴仁豪
EE-77	知识管理与组织学习研究	112	4.0	丘司梁
IE-72	中国现代文学史	144	1.5	俟司加萍
ChE-76	环境保护法律法规	48	3.0	葛仁梦
Bio-75	信息系统与企业管理研究	16	5.0	庞忠婉
Phys-98	人力资源策略与组织绩效研究	128	1.0	荀器轮
Ling-59	供应链管理与电子商务研究	128	2.0	盛马璧
Chem-15	自然语言	64	1.5	乌忠环
Ling-64	声乐表演	160	6.0	舌微舒
Chem-19	计算机语言学上	112	4.0	宁金倩
Stat-88	灾害心理学	160	2.0	郭笑海
Econ-95	生产计划与调度	48	3.5	缪军
CS-90	飞行器导航与制导	112	0.5	慕容思
Phys-04	通信原理下	32	8.0	益菲
Phys-48	分布式系统下	144	3.0	苍言
ME-42	社会保障与社会福利研究	80	6.5	刁卡菲
EE-00	计算机体系结构	96	7.5	郑孝星
Econ-31	人力资源发展与管理研究	144	3.0	盛电荔
Chem-87	人类学概论	64	9.5	衡红
Math-61	固体力学	32	6.0	吴桂
AE-90	离散数学	112	8.0	李义馥
AE-73	媒介法律	16	7.0	熊飞
Ling-99	运动训练学	160	8.5	向玉秋
Econ-22	金融市场与风险管理研究	80	8.0	双玲
CS-89	计算机图形学	16	4.5	步九琛
CS-74	营销管理与市场分析研究	96	5.0	孟友育
CE-50	企业管理概论	160	6.5	薛友伊
ME-70	星系与宇宙	112	1.0	子颛卿
ChE-03	植物学	16	9.0	井慧
BE-90	灾害预测与预警	160	6.0	关晶
Chem-40	心理学应用案例	64	7.5	邵苑
ME-08	企业文化与领导力研究	128	5.0	洪贝功
Econ-44	信息系统与电子商务研究	48	5.0	包美
ChE-95	媒介法律	32	0.5	云好朗
Econ-83	管理科学与决策分析研究	32	5.0	王玉珠
EE-96	植物学	32	4.0	季奇
EE-60	人格心理学概论	160	8.0	史芬
Ling-69	社会工作与社会政策研究	112	0.5	公加媛
Bio-38	会计学原理	48	4.5	于器致
Chem-57	移动计算	64	6.5	万信瑶
AE-74	社会学与社会问题研究	32	8.5	钟荣
Chem-70	中国古代史	112	4.0	官司欣
Math-51	灾害管理法律法规	112	1.5	隗加冰
ME-46	文学理论	80	9.5	陶雪
Econ-32	普通化学	16	8.5	长孙竹
IE-47	体育经济学	160	1.0	平仁豪
Chem-36	建筑与城市文化遗产保护	96	4.5	家卡有
ME-48	船舶电气与自动化	160	5.0	王寒
CS-44	金融监管	32	8.0	毛笑伯
CE-01	网络营销与推广	128	4.5	井好伯
Bio-78	电力系统调度与控制	64	3.0	诸葛咏
BE-20	国际法与国际公法	160	0.5	伊礼琼
CE-06	组织行为学	96	2.0	冯寒
Ling-49	计算机动画下	160	7.5	伍钰克
Econ-41	企业并购与重组	48	5.0	左中亚
BE-87	组织变革与创新管理研究	96	8.5	俞都青
Stat-07	人格心理学概论	48	8.0	巴凯巧
IE-40	物联网技术	80	8.0	里东电波
EE-58	企业文化与领导力研究	48	7.5	羊舌乐
Stat-59	哲学与宗教研究	160	9.5	关承
BE-62	计算机图形学下	16	4.0	蔡智芝
IE-65	信息系统与企业管理研究	48	0.5	许时
BE-60	人力资源策略与组织绩效研究	144	4.0	包贝梁
Econ-47	军事地理与战场环境	48	1.5	魏琳
Chem-71	体育科学理论	80	8.0	韩媛
BE-36	国际法与国际公法	144	1.0	闫琛
Stat-60	艺术与设计教育研究	32	0.5	胡伟
ChE-72	音频处理上	96	2.5	伊无生
CS-77	舞蹈历史	96	9.5	邬昭
Econ-10	计算机辅助医疗上	64	4.5	衡盛
Phys-66	经济学概论	144	8.5	满信云
CS-75	灾害管理概论	112	4.0	康歌安
IE-23	创新与知识管理研究	32	5.0	韶孝心
Phys-69	企业并购与重组	112	7.0	徐力
Stat-54	环境污染与控制	32	1.5	祖娣
ME-84	古代汉语	160	9.5	崔礼芳
Bio-88	信息论与编码	96	0.5	孔真
BE-50	信息技术与管理研究	128	3.5	弘电祥
CE-38	环境工程与水资源研究	80	5.0	燕环
Ling-67	心理治疗学概论	144	7.5	陶梁
CS-38	人类学与文化研究	48	5.5	陈孝明
IE-05	舞蹈教育	16	0.5	南门力
ChE-81	音频处理上	144	2.0	穆仁克
ChE-70	中国画	64	6.0	霍枫
Math-62	职业发展与人力资源研究	96	9.0	寿元
Bio-96	水污染控制工程	80	4.0	晋马婵
Econ-11	统计学原理	128	7.0	许易娜
Ling-15	项目管理	96	4.5	马黛
CS-04	拓扑学	144	5.5	柳忠先
Ling-88	天文学概论	160	4.0	侯诸器英
Stat-18	传播学理论	32	1.0	贾刚
ChE-32	世界文学史	96	6.0	司清
Phys-63	逻辑学	160	4.5	倪壮
BE-85	电影美学	112	1.0	楚钰建
Stat-74	油画	64	8.0	门南斌
IE-55	地球内部动力学	96	4.0	齐薇
Chem-38	妇产科学	32	9.0	凤可
Econ-56	电路分析	96	8.5	阮枝
CS-70	医学统计学	160	9.5	和克
Ling-04	交通运输规划与管理研究	80	4.5	台公华
CS-45	电磁学	112	3.5	鲁荣
Stat-57	国际金融	160	1.5	邹礼毅
Ling-55	系统编程下	160	8.0	卜岚
Chem-09	城市与区域规划研究	112	0.5	葛凯梦
Chem-42	宇宙学	128	4.5	成加栋
Phys-59	法律与司法研究	144	9.0	华凯冰
BE-51	计算机体系结构	16	8.0	梁丘友昭
BE-49	服务管理与质量控制研究	160	3.0	滕忠伊
Phys-23	人力资源管理与招聘研究	112	8.5	任健
CS-71	船舶动力系统	80	6.5	司德
EE-12	组织行为学与领导研究	80	9.5	狄马博
Math-60	环境风险评估	160	2.5	方仁寒
EE-54	机器人学下	80	5.0	习中竹
CE-02	建筑学与设计研究	128	4.5	滑钰维
Bio-86	教育技术与远程教育研究	112	0.5	司寇勤
ME-07	水生生态学	48	9.5	束心
Chem-73	编译原理与技术上	48	4.0	张光
CS-79	草地生态学	80	2.0	冉易筠
Bio-77	计算机动画上	16	1.5	陈民
BE-88	编译原理与技术下	96	3.0	金婵
BE-02	计算机视觉下	16	9.0	尹信苑
EE-24	人力资源发展与管理研究	32	2.5	席悦
CS-43	人力资源开发与培训研究	16	6.5	木巫笑刚
AE-75	人口与人类学研究	48	2.0	隗都奇
Chem-55	供应链管理与物流研究	64	1.5	李磊
Bio-31	分布式系统	128	2.5	益钰环
Stat-39	城市与区域规划研究	128	6.5	赵都俊
BE-96	管理科学与决策分析研究	16	6.0	安孝爽
Econ-18	数学建模	16	8.5	郎琴
Ling-77	微分方程	96	3.5	荀凯辉
Phys-31	计算机安全下	96	5.5	李友炎
ME-83	眼科学	48	4.0	岑贝康
Econ-04	虚拟现实技术	32	6.0	万器德
AE-70	环境科学基础	96	3.0	喻易妹
BE-59	财务管理	128	9.5	杨金薇
ME-64	环境与资源管理研究	16	8.0	郎加时
Phys-01	数据挖掘	80	3.5	纪智蓉
Bio-84	风险管理	96	3.5	牛都瑾
Phys-20	通信原理下	48	6.0	终都树
Econ-96	舞蹈表演	32	5.5	元树
Phys-94	内燃机原理	160	1.5	常江
EE-55	工业工程统计学	80	7.0	谷无昭
EE-27	西方哲学思想	112	5.5	徒司卡林
Phys-46	飞行器材料与制造	160	7.0	危群
CS-18	信息技术与管理研究	32	2.5	殷器霄
Phys-61	云计算与大数据	112	3.5	澹台孝新
CS-29	消费者行为学	80	6.5	舌微智辰
Stat-17	机械制图学	96	8.0	车朋
AE-39	古代汉语	96	7.5	柳娣
Chem-35	操作系统内核上	128	0.5	伍寒
AE-19	音乐欣赏	112	7.5	常羽
Bio-99	无机化学	128	1.5	南宫金仪
CE-43	信息系统与电子商务研究	64	6.0	燕凯雄
Ling-01	人力资源发展与管理研究	112	4.0	危豪
ChE-07	灾后重建与恢复	32	4.5	幸玉维
ChE-06	音频处理下	128	8.0	干芝
Bio-52	城市与区域规划研究	160	1.0	井娅
ME-35	计算机组成原理	32	9.5	盖红
BE-38	计算机辅助设计上	80	7.5	季可
AE-27	政治与公共管理研究	144	2.5	舒忠凤
ME-93	音频处理下	32	7.5	詹霭
Math-12	地球化学	48	5.5	夏智菲
IE-45	建筑设计基础	112	6.0	燕江
ME-52	环境管理与可持续发展研究	32	6.5	鲁金婕
Math-99	城市与区域规划研究	128	9.0	郝博
Econ-03	飞行器结构设计	144	5.0	范秀
Phys-07	国际安全与军事战略	112	4.5	殴中心
CE-87	计算机网络	96	9.5	傅都荣
Chem-60	药理学	144	1.0	霍克
ME-00	营销管理	32	3.0	危凯会
ME-59	内科学	64	3.0	乌鸣
ME-03	企业财务管理	64	4.5	詹薇
CS-11	并行计算下	128	1.0	曾和
Ling-78	媒体与传播研究	32	7.5	田雅
CE-73	组织行为学与领导研究	144	7.5	井亚
EE-01	物理化学	112	2.5	陆峰
ME-19	数据结构与算法上	160	8.0	娄苑
ME-62	机器学习	96	6.5	郭忠俊
ME-30	理论物理	64	4.0	满器豪
EE-99	服务营销	160	0.5	解武
Ling-02	经济学理论与经济政策研究	80	8.5	秦行
CS-87	中国古代诗词鉴赏	128	5.0	仲孙笑民
Phys-92	风险管理	80	9.5	湛义桂
BE-54	计算机操作系统下	80	0.5	弘敬
IE-64	环境伦理与哲学	96	7.0	陈馨
CS-23	计算机辅助教育下	160	8.5	秦波
ChE-14	数字营销	64	6.5	张无栋
AE-54	计算机网络	64	8.0	亓官卡胜
ChE-83	信息战争与网络安全	160	8.5	明嘉
Stat-09	微生物学	80	4.5	庞峰
Ling-70	世界经典戏剧选读	48	3.5	成峰
Bio-43	医学影像学	80	5.5	戚娥
EE-02	信息安全下	80	7.5	司马被富
ME-69	文化哲学	144	1.0	卫电凤
Stat-34	机械工程与材料工程研究	144	6.5	邵卡平
Econ-09	陆军战术与战略	112	3.5	昌枝
AE-49	人力资源管理与招聘研究	32	9.5	陶友琬
EE-11	历史与历史文化遗产研究	144	1.0	俟司言
EE-98	商务战略与竞争优势研究	160	1.5	董电明
IE-13	机械制图学	80	8.5	邱洁
Math-39	社会保障与社会福利研究	96	7.5	麻兴
Econ-85	培训与发展	80	4.5	干百绍
Phys-82	战略管理与组织设计研究	64	1.5	农贝萍
AE-30	物理学与天文学研究	64	8.0	凤佳
AE-33	电子商务技术	16	6.0	单于凯宏
Bio-97	汽车电子技术	96	4.5	苏霭
CE-33	分析化学	48	5.0	关无涛
AE-04	生物技术概论	32	4.0	伍君
ChE-57	计算机音乐上	80	3.0	关器晶
IE-01	飞行器控制	16	4.0	周行
ME-89	绩效管理与激励研究	160	9.0	芮璐
Bio-73	信息系统与企业管理研究	96	3.5	凌宁
Phys-15	编译原理与技术下	32	4.0	沈超
Ling-41	信息技术与管理研究	64	6.5	朱孝霞
CE-51	心理学应用案例	160	4.0	连皇九英
Stat-46	化学生物学	128	4.5	沃馥
ME-18	自然保护区管理	64	0.5	莘昌
Chem-74	心理治疗学概论	128	6.5	邴电厚
CE-59	无机化学	112	1.5	步无卿
Phys-21	电气测量技术	80	9.5	景九伯
Stat-73	信息安全下	144	8.5	吴荣
EE-91	中国画	80	7.0	司寇都琴
Econ-00	细胞生物学	32	7.5	丁荔
Stat-72	伦理学	64	7.0	卢钰峰
CE-96	数据结构与算法下	128	4.0	吉易宁
Ling-16	商务战略与竞争优势研究	96	9.5	詹笑天
Econ-19	企业战略与竞争研究	16	4.5	胡婕
ChE-82	经济学理论与经济政策研究	48	2.0	施电青
Phys-05	组织行为学与领导研究	32	8.0	钟器晶
Phys-89	信息系统与企业管理研究	160	5.0	钱冰
CE-63	经济数学	80	7.5	牧礼顺
Chem-51	地理学与地球科学研究	80	5.5	茹刚
ME-80	经济发展与国际贸易研究	128	3.5	终姬
BE-23	机器人学下	64	9.0	滑竹
ME-14	音乐理论	64	9.5	龚聪
Phys-18	人工智能前沿技术	80	3.0	关马广
CE-28	体育法学	32	5.5	顾雁
Ling-94	并行计算	16	5.5	金富
AE-35	植物学	160	2.0	羊舌永
Phys-62	企业战略与竞争研究	96	1.5	通加进
Stat-41	水污染控制工程	144	2.5	戈笑亨
Bio-13	网络安全上	32	7.0	巴仁宜
BE-92	有机化学	80	6.0	石嘉
ChE-16	病理学	112	7.0	毕妍
ME-65	国际政治经济学	48	3.0	刁心
ChE-58	数据科学基础	48	8.0	裴加辉
Chem-18	光学	160	0.5	车凯萍
Phys-95	化学生物学	80	0.5	石上承
ChE-69	飞行器控制	64	1.0	戚信永
Phys-57	公共卫生学	144	8.0	巴礼健
BE-56	计算机体系结构	144	8.5	伍枫
Phys-28	古代汉语	64	1.0	洪斌
Phys-54	神经科学	80	4.5	米倩
EE-23	计算机智能化制造上	112	9.5	乐正先
Econ-28	WEB安全上	144	1.0	刁好羽
Phys-44	语言学与应用语言学研究	112	4.0	伊电莲
IE-96	文学批评	96	3.0	益元
ME-96	编译原理	144	5.0	游凯伊
BE-07	计算机音视频处理下	128	3.0	凤晓
EE-92	地球内部动力学	48	5.5	熊贞
ME-40	数据挖掘	64	4.0	习晶
EE-45	人力资源管理与招聘研究	128	1.0	和玲
BE-41	经济思想史	112	4.5	童艺
Ling-17	运动生理学	144	9.0	尹被颖
Ling-29	企业财务管理	160	5.5	郭忠楠
CS-80	信息系统与企业管理研究	128	5.0	隗月
Math-56	健康管理与公共卫生研究	32	2.5	伊山
Stat-58	组织行为学与领导研究	16	6.0	都榕
CS-39	人工智能应用	96	8.0	骆朋
EE-82	企业社会责任与可持续发展研究	144	8.5	钟离凤
IE-00	企业战略与竞争研究	144	7.0	霍友
Phys-37	化学与材料科学研究	144	7.5	文孝园
ME-56	环保与节能技术研究	160	4.5	平孝利
ChE-92	医学基础知识	96	1.5	韶忠亮
Math-26	供应链管理与电子商务研究	48	7.0	莘易昭
IE-24	普通物理学	32	1.0	贾晨
Chem-50	城市与区域规划研究	160	5.5	蔡苑
ChE-80	社会学概论	64	3.5	沃贝裕
ChE-45	人力资源管理与组织行为研究	144	0.5	丘司子
Ling-73	服务管理与质量控制研究	112	3.5	戚忠广
CS-10	翻译理论与实践	80	8.5	钟乐
Math-33	云计算与大数据	96	8.0	殷被进
Chem-95	西方哲学史	48	8.5	伍加婵
CE-84	电力市场与经济	64	3.0	文凯盛
CE-69	企业战略与竞争研究	16	9.5	龙环
BE-63	嵌入式系统下	48	3.5	刁聪
CE-60	物理化学	96	2.0	顾都栋
CE-26	高等代数	144	4.0	项泽
Phys-60	绩效管理与激励研究	112	4.5	屈玉华
AE-48	并行算法上	112	7.5	秦彩
CS-48	美学	128	2.0	柯朗
Chem-52	生物多样性保护	80	4.5	苍博
BE-40	金融市场与风险管理研究	128	2.0	程惠
Stat-05	企业战略与管理研究	96	0.5	臧风
EE-46	互联网金融	128	9.0	萧榕
Phys-64	经济数学	128	4.0	和智河
CE-48	系统编程下	144	5.5	刁康
Math-98	人工智能下	144	5.0	茅翰
Phys-36	计算机系统性能分析	96	2.0	郑朗
Chem-91	灾害心理学	16	9.0	步胜
CE-09	数学建模	32	3.0	门呼礼天
ChE-44	企业并购与重组	32	2.0	朱婵
Chem-43	统计心理学概论	80	6.5	薛卡瑶
ChE-18	电视编导	112	0.5	终被峰
Econ-59	传播学理论	48	6.5	赵中琴
Bio-79	计算机组成原理上	128	3.5	周无冰
Math-09	计算机科学导论	112	2.0	湛才
IE-03	机械设计基础	16	6.5	蔡易晓
EE-51	供应链管理与电子商务研究	144	4.5	裴都士
IE-94	水产养殖与海洋科学研究	128	5.0	凌聪
ME-67	服务管理与质量控制研究	96	5.5	井纨
CE-14	动力学	144	7.5	闻歌莉
Stat-01	汽车安全与舒适性	48	9.0	乐毓
Phys-55	城市规划与土地管理研究	48	6.5	毛九钧
CS-01	微生物学	96	5.0	蒋雁
IE-86	人工智能应用	128	1.0	干鹏
Bio-00	电影美学	16	3.0	娄时
Bio-60	计算机游戏下	128	5.5	南宫滢
CE-62	社会学与社会问题研究	112	1.0	邴先
AE-01	人力资源管理与招聘研究	112	7.5	寇仉纯
IE-73	地理学与地球科学研究	144	1.0	元行
Ling-62	计算机量子计算上	128	3.0	田加眉
CS-16	药理学	160	5.0	羊功
ME-20	交通运输规划与管理研究	144	6.5	邵羽
ChE-64	社会保障与社会福利研究	112	1.0	钱信群
Econ-39	医学与生命科学研究	144	2.0	卜礼可
Chem-83	社会网络与组织行为研究	144	3.0	盛信婉
Stat-32	数值计算方法	112	8.0	崔钰芝
Phys-77	实验物理	144	7.0	牛淑
Bio-44	绩效管理	80	8.5	狄博
Math-41	内燃机原理	160	9.5	车江
CS-12	经济发展与国际贸易研究	16	7.5	周平
CS-32	计算机体系结构上	96	9.0	屈义泽
ME-01	政治学与国际关系研究	16	9.0	寿智博
ChE-15	理论物理	144	1.0	尚易琴
AE-13	环境哲学	128	5.0	屈电义
Stat-89	热力学	80	4.5	向礼枫
Math-46	中国古代文学	128	9.0	蔡韵
CE-93	国际商务策略	64	9.5	瞿荷
CS-34	经济发展与国际贸易研究	80	1.0	隗江
Ling-24	化学工程概论	80	6.0	贝易朋
IE-87	移动开发下	96	4.0	寿电菁
CS-24	互联网金融	16	5.5	马冰
ChE-41	环境教育与社会发展	16	4.5	纪巧
BE-98	经济学与政策研究	48	5.0	曾信斌
Chem-28	水资源与水环境	32	3.0	甄霭
Econ-75	语义学	32	6.5	葛好发
AE-60	财务管理	160	1.5	雷卡泰
Math-96	实时系统上	96	4.5	范友才
AE-94	人力资源发展与管理研究	16	3.0	叶被宁
ME-11	企业社会责任与可持续发展研究	112	3.0	边永
Chem-58	数字控制系统	16	9.0	俟司成
